Frame,Predicted Offset,Forward Speed,Turn Speed,
1,-0.082637608,0.04,0.041318804025650024,[0.04      0.0413188]
2,-0.082637608,0.04,0.041318804025650024,[0.04      0.0413188]
3,-0.0892905,0.04,0.04464524984359741,[0.04       0.04464525]
4,-0.092755079,0.04,0.04637753963470459,[0.04       0.04637754]
5,-0.092755079,0.04,0.04637753963470459,[0.04       0.04637754]
6,-0.097205251,0.04,0.0486026257276535,[0.04       0.04860263]
7,-0.098379254,0.04,0.049189627170562744,[0.04       0.04918963]
8,-0.100304782,0.04,0.05015239119529724,[0.04       0.05015239]
9,-0.101727784,0.04,0.05086389183998108,[0.04       0.05086389]
10,-0.102664053,0.04,0.051332026720047,[0.04       0.05133203]
11,-0.115658224,0.04,0.0578291118144989,[0.04       0.05782911]
12,-0.120266855,0.04,0.0601334273815155,[0.04       0.06013343]
13,-0.126658916,0.04,0.06332945823669434,[0.04       0.06332946]
14,-0.128136933,0.04,0.06406846642494202,[0.04       0.06406847]
15,-0.128136933,0.04,0.06406846642494202,[0.04       0.06406847]
16,-0.128136933,0.04,0.06406846642494202,[0.04       0.06406847]
17,-0.133460283,0.04,0.06673014163970947,[0.04       0.06673014]
18,-0.137496263,0.04,0.06874813139438629,[0.04       0.06874813]
19,-0.137496263,0.04,0.06874813139438629,[0.04       0.06874813]
20,-0.147820771,0.04,0.07391038537025452,[0.04       0.07391039]
21,-0.147820771,0.04,0.07391038537025452,[0.04       0.07391039]
22,-0.154514432,0.04,0.07725721597671509,[0.04       0.07725722]
23,-0.156816095,0.04,0.07840804755687714,[0.04       0.07840805]
24,-0.156816095,0.04,0.07840804755687714,[0.04       0.07840805]
25,-0.161670357,0.04,0.08083517849445343,[0.04       0.08083518]
26,-0.166745603,0.04,0.0833728015422821,[0.04      0.0833728]
27,-0.166745603,0.04,0.0833728015422821,[0.04      0.0833728]
28,-0.171331346,0.04,0.08566567301750183,[0.04       0.08566567]
29,-0.171331346,0.04,0.08566567301750183,[0.04       0.08566567]
30,-0.180368602,0.04,0.0901843011379242,[0.04      0.0901843]
31,-0.186279178,0.04,0.09313958883285522,[0.04       0.09313959]
32,-0.188786834,0.04,0.09439341723918915,[0.04       0.09439342]
33,-0.19282192,0.04,0.09641095995903015,[0.04       0.09641096]
34,-0.19282192,0.04,0.09641095995903015,[0.04       0.09641096]
35,-0.202892095,0.04,0.10144604742527008,[0.04       0.10144605]
36,-0.208766997,0.04,0.10438349843025208,[0.04      0.1043835]
37,-0.208766997,0.04,0.10438349843025208,[0.04      0.1043835]
38,-0.216485202,0.04,0.10824260115623474,[0.04      0.1082426]
39,-0.221222311,0.04,0.11061115562915802,[0.04       0.11061116]
40,-0.222862303,0.04,0.11143115162849426,[0.04       0.11143115]
41,-0.227670848,0.04,0.1138354241847992,[0.04       0.11383542]
42,-0.227670848,0.04,0.1138354241847992,[0.04       0.11383542]
43,-0.233996391,0.04,0.11699819564819336,[0.04      0.1169982]
44,-0.235200942,0.04,0.1176004707813263,[0.04       0.11760047]
45,-0.235200942,0.04,0.1176004707813263,[0.04       0.11760047]
46,-0.235200942,0.04,0.1176004707813263,[0.04       0.11760047]
47,-0.242408335,0.04,0.12120416760444641,[0.04       0.12120417]
48,-0.249548435,0.04,0.12477421760559082,[0.04       0.12477422]
49,-0.256055593,0.04,0.1280277967453003,[0.04      0.1280278]
50,-0.265497208,0.04,0.13274860382080078,[0.04      0.1327486]
51,-0.269304633,0.04,0.13465231657028198,[0.04       0.13465232]
52,-0.273916006,0.04,0.13695800304412842,[0.04     0.136958]
53,-0.276503444,0.04,0.13825172185897827,[0.04       0.13825172]
54,-0.276503444,0.04,0.13825172185897827,[0.04       0.13825172]
55,-0.276503444,0.04,0.13825172185897827,[0.04       0.13825172]
56,-0.287975609,0.04,0.14398780465126038,[0.04      0.1439878]
57,-0.299118102,0.04,0.14955905079841614,[0.04       0.14955905]
58,-0.305362523,0.04,0.15268126130104065,[0.04       0.15268126]
