Frame,Predicted Offset,Forward Speed,Turn Speed,
1,-0.008264095,0.1,0.0041320472955703735,[0.1        0.00413205]
2,-0.01001361,0.1,0.005006805062294006,[0.1        0.00500681]
3,-0.013472527,0.1,0.006736263632774353,[0.1        0.00673626]
4,-0.014175296,0.1,0.007087647914886475,[0.1        0.00708765]
5,-0.014175296,0.1,0.007087647914886475,[0.1        0.00708765]
6,-0.005808204,0.1,0.0029041022062301636,[0.1       0.0029041]
7,-0.002559006,0.1,0.0012795031070709229,[0.1       0.0012795]
8,-0.002559006,0.1,0.0012795031070709229,[0.1       0.0012795]
9,-0.002559006,0.1,0.0012795031070709229,[0.1       0.0012795]
10,0.003765404224395752,0.1,-0.001882702,[ 0.1       -0.0018827]
11,0.008479803800582886,0.1,-0.004239902,[ 0.1       -0.0042399]
12,0.008056342601776123,0.1,-0.004028171,[ 0.1        -0.00402817]
13,0.008056342601776123,0.1,-0.004028171,[ 0.1        -0.00402817]
14,0.008056342601776123,0.1,-0.004028171,[ 0.1        -0.00402817]
15,0.023997396230697632,0.1,-0.011998698,[ 0.1       -0.0119987]
16,0.026535913348197937,0.1,-0.013267957,[ 0.1        -0.01326796]
17,0.03243854641914368,0.1,-0.016219273,[ 0.1        -0.01621927]
18,0.042771756649017334,0.1,-0.021385878,[ 0.1        -0.02138588]
19,0.04635046422481537,0.1,-0.023175232,[ 0.1        -0.02317523]
20,0.05655708909034729,0.1,-0.028278545,[ 0.1        -0.02827854]
21,0.06271786987781525,0.1,-0.031358935,[ 0.1        -0.03135893]
22,0.07759618759155273,0.1,-0.038798094,[ 0.1        -0.03879809]
23,0.08384290337562561,0.1,-0.041921452,[ 0.1        -0.04192145]
24,0.08384290337562561,0.1,-0.041921452,[ 0.1        -0.04192145]
25,0.0946045070886612,0.1,-0.047302254,[ 0.1        -0.04730225]
26,0.1000569611787796,0.1,-0.050028481,[ 0.1        -0.05002848]
27,0.11812850832939148,0.1,-0.059064254,[ 0.1        -0.05906425]
28,0.11812850832939148,0.1,-0.059064254,[ 0.1        -0.05906425]
29,0.14214226603507996,0.1,-0.071071133,[ 0.1        -0.07107113]
30,0.1549261510372162,0.1,-0.077463076,[ 0.1        -0.07746308]
31,0.16100934147834778,0.1,-0.080504671,[ 0.1        -0.08050467]
32,0.16100934147834778,0.1,-0.080504671,[ 0.1        -0.08050467]
33,0.17731350660324097,0.1,-0.088656753,[ 0.1        -0.08865675]
34,0.19785146415233612,0.1,-0.098925732,[ 0.1        -0.09892573]
35,0.19785146415233612,0.1,-0.098925732,[ 0.1        -0.09892573]
36,0.20751965045928955,0.1,-0.103759825,[ 0.1        -0.10375983]
37,0.2138824313879013,0.1,-0.106941216,[ 0.1        -0.10694122]
38,0.24093972146511078,0.1,-0.120469861,[ 0.1        -0.12046986]
39,0.24093972146511078,0.1,-0.120469861,[ 0.1        -0.12046986]
40,0.26753830909729004,0.1,-0.133769155,[ 0.1        -0.13376915]
41,0.26753830909729004,0.1,-0.133769155,[ 0.1        -0.13376915]
42,0.28982922434806824,0.1,-0.144914612,[ 0.1        -0.14491461]
43,0.30349940061569214,0.1,-0.1517497,[ 0.1       -0.1517497]
44,0.30910784006118774,0.1,-0.15455392,[ 0.1        -0.15455392]
45,0.3142995834350586,0.1,-0.157149792,[ 0.1        -0.15714979]
46,0.32488080859184265,0.1,-0.162440404,[ 0.1       -0.1624404]
47,0.3394032418727875,0.1,-0.169701621,[ 0.1        -0.16970162]
48,0.3439931869506836,0.1,-0.171996593,[ 0.1        -0.17199659]
49,0.34796860814094543,0.1,-0.173984304,[ 0.1       -0.1739843]
50,0.3525616526603699,0.1,-0.176280826,[ 0.1        -0.17628083]
51,0.36467739939689636,0.1,-0.1823387,[ 0.1       -0.1823387]
52,0.36467739939689636,0.1,-0.1823387,[ 0.1       -0.1823387]
53,0.3760565221309662,0.1,-0.188028261,[ 0.1        -0.18802826]
54,0.3760565221309662,0.1,-0.188028261,[ 0.1        -0.18802826]
55,0.3841898441314697,0.1,-0.192094922,[ 0.1        -0.19209492]
56,0.3841898441314697,0.1,-0.192094922,[ 0.1        -0.19209492]
57,0.38855886459350586,0.1,-0.194279432,[ 0.1        -0.19427943]
58,0.3893042504787445,0.1,-0.194652125,[ 0.1        -0.19465213]
59,0.3893042504787445,0.1,-0.194652125,[ 0.1        -0.19465213]
60,0.3900825083255768,0.1,-0.195041254,[ 0.1        -0.19504125]
61,0.3901056945323944,0.1,-0.195052847,[ 0.1        -0.19505285]
62,0.3901056945323944,0.1,-0.195052847,[ 0.1        -0.19505285]
63,0.3887608051300049,0.1,-0.194380403,[ 0.1       -0.1943804]
64,0.3873332142829895,0.1,-0.193666607,[ 0.1        -0.19366661]
65,0.3864837884902954,0.1,-0.193241894,[ 0.1        -0.19324189]
66,0.3864837884902954,0.1,-0.193241894,[ 0.1        -0.19324189]
67,0.38273394107818604,0.1,-0.191366971,[ 0.1        -0.19136697]
68,0.3812738060951233,0.1,-0.190636903,[ 0.1       -0.1906369]
69,0.378477543592453,0.1,-0.189238772,[ 0.1        -0.18923877]
70,0.3727057874202728,0.1,-0.186352894,[ 0.1        -0.18635289]
71,0.3696579337120056,0.1,-0.184828967,[ 0.1        -0.18482897]
72,0.3696579337120056,0.1,-0.184828967,[ 0.1        -0.18482897]
73,0.3640037775039673,0.1,-0.182001889,[ 0.1        -0.18200189]
74,0.3607945740222931,0.1,-0.180397287,[ 0.1        -0.18039729]
75,0.3479040265083313,0.1,-0.173952013,[ 0.1        -0.17395201]
76,0.3453482389450073,0.1,-0.172674119,[ 0.1        -0.17267412]
77,0.33954936265945435,0.1,-0.169774681,[ 0.1        -0.16977468]
78,0.3375825881958008,0.1,-0.168791294,[ 0.1        -0.16879129]
79,0.3375825881958008,0.1,-0.168791294,[ 0.1        -0.16879129]
80,0.3270651400089264,0.1,-0.16353257,[ 0.1        -0.16353257]
81,0.3137483596801758,0.1,-0.15687418,[ 0.1        -0.15687418]
82,0.3085070252418518,0.1,-0.154253513,[ 0.1        -0.15425351]
83,0.30174168944358826,0.1,-0.150870845,[ 0.1        -0.15087084]
84,0.2901694178581238,0.1,-0.145084709,[ 0.1        -0.14508471]
85,0.27790674567222595,0.1,-0.138953373,[ 0.1        -0.13895337]
86,0.2693845331668854,0.1,-0.134692267,[ 0.1        -0.13469227]
87,0.24356019496917725,0.1,-0.121780097,[ 0.1       -0.1217801]
88,0.2282300889492035,0.1,-0.114115044,[ 0.1        -0.11411504]
89,0.21884900331497192,0.1,-0.109424502,[ 0.1       -0.1094245]
90,0.20319324731826782,0.1,-0.101596624,[ 0.1        -0.10159662]
91,0.18117062747478485,0.1,-0.090585314,[ 0.1        -0.09058531]
92,0.18117062747478485,0.1,-0.090585314,[ 0.1        -0.09058531]
93,0.17756624519824982,0.1,-0.088783123,[ 0.1        -0.08878312]
94,0.16537544131278992,0.1,-0.082687721,[ 0.1        -0.08268772]
95,0.16537544131278992,0.1,-0.082687721,[ 0.1        -0.08268772]
96,0.1564481258392334,0.1,-0.078224063,[ 0.1        -0.07822406]
97,0.15510866045951843,0.1,-0.07755433,[ 0.1        -0.07755433]
98,0.15510866045951843,0.1,-0.07755433,[ 0.1        -0.07755433]
99,0.1509895771741867,0.1,-0.075494789,[ 0.1        -0.07549479]
100,0.14370197057724,0.1,-0.071850985,[ 0.1        -0.07185099]
101,0.1399245709180832,0.1,-0.069962285,[ 0.1        -0.06996229]
102,0.12664081156253815,0.1,-0.063320406,[ 0.1        -0.06332041]
103,0.12183839082717896,0.1,-0.060919195,[ 0.1       -0.0609192]
104,0.11784297227859497,0.1,-0.058921486,[ 0.1        -0.05892149]
105,0.1123315691947937,0.1,-0.056165785,[ 0.1        -0.05616578]
106,0.11045308411121368,0.1,-0.055226542,[ 0.1        -0.05522654]
107,0.11045308411121368,0.1,-0.055226542,[ 0.1        -0.05522654]
108,0.10940773785114288,0.1,-0.054703869,[ 0.1        -0.05470387]
109,0.10969465970993042,0.1,-0.05484733,[ 0.1        -0.05484733]
110,0.10937266051769257,0.1,-0.05468633,[ 0.1        -0.05468633]
111,0.1085873395204544,0.1,-0.05429367,[ 0.1        -0.05429367]
112,0.10413743555545807,0.1,-0.052068718,[ 0.1        -0.05206872]
113,0.10721839964389801,0.1,-0.0536092,[ 0.1       -0.0536092]
114,0.11122487485408783,0.1,-0.055612437,[ 0.1        -0.05561244]
115,0.11367486417293549,0.1,-0.056837432,[ 0.1        -0.05683743]
116,0.1153901070356369,0.1,-0.057695054,[ 0.1        -0.05769505]
117,0.11779479682445526,0.1,-0.058897398,[ 0.1       -0.0588974]
118,0.12127843499183655,0.1,-0.060639217,[ 0.1        -0.06063922]
